,Value,Uncertainty,Value ,Uncertainty
Frequency (Hz),Initial (mV),,Final (mV),
10,1.0228,0.001,1.058,0.005
100,1.0264,0.001,1.067,0.005
200,1.0268,0.002,1.929,0.005
300,1.023,0.001,8.119,0.005
400,1.0261,0.002,25.265,0.005
500,1.0263,0.001,61.155,0.005
600,1.0276,0.001,125.27,0.005
700,1.0264,0.001,226.32,0.01
800,1.0263,0.0005,366.71,0.01
900,1.0258,0.001,532.7,0.01
1000,1.0258,0.001,692.77,0.05
2000,1.026,0.001,998.28,0.02
3000,1.0256,0.001,992.91,0.02
4000,1.0267,0.001,989.83,0.01
5000,1.0257,0.0005,988.33,0.01
6000,1.0261,0.001,987.53,0.01
7000,1.0253,0.008,987.08,0.01
8000,1.0257,0.0005,986.8,0.01
9000,1.0258,0.005,986.67,0.01
10000,1.0246,0.0005,986.58,0.01
11000,,,986.54,0.02
12000,,,986.52,0.01
13000,,,986.54,0.01
14000,,,986.54,0.01
15000,,,986.55,0.01
16000,,,986.58,0.01
17000,,,986.57,0.01
18000,,,986.57,0.01
19000,,,986.53,0.01
20000,1.0234,0.0005,986.45,0.01
21000,,,,
22000,,,,
23000,,,,
24000,,,,
25000,,,,
26000,,,,
27000,,,,
28000,,,,
29000,,,,
30000,1.0219,0.0005,978.16,0.01
31000,1.0207,0.0005,975.66,0.01
32000,1.0203,0.0005,972.57,0.01
33000,1.0198,0.0008,968.74,0.01
34000,1.0196,0.0005,964.09,0.01
35000,1.019,0.001,958.49,0.01
36000,1.019,0.001,951.81,0.01
37000,1.0185,0.0005,943.85,0.01
38000,1.0179,0.0005,934.53,0.01
39000,1.0178,0.0005,923.72,0.01
40000,1.0173,0.001,911.28,0.01
41000,1.0165,0.001,897.19,0.01
42000,1.0158,0.001,881.27,0.01
43000,1.0158,0.001,863.47,0.01
44000,,,843.8,0.01
45000,1.0154,0.001,822.43,0.01
46000,,,799.48,0.01
47000,,,774.95,0.01
48000,,,749.04,0.01
49000,,,722.15,0.01
50000,1.012,0.0007,694.47,0.01
51000,,,666.12,0.01
52000,,,637.52,0.01
53000,,,608.99,0.01
54000,,,580.53,0.01
55000,,,552.51,0.01
56000,,,525.22,0.01
57000,,,498.55,0.01
58000,,,472.73,0.01
59000,,,447.96,0.01
60000,1.005,0.0002,424.23,0.01
61000,,,401.47,0.01
62000,,,379.81,0.01
63000,,,359.31,0.01
64000,,,339.09,0.01
65000,,,321.47,0.01
66000,,,304.04,0.01
67000,,,287.63,0.01
68000,,,272.21,0.01
69000,,,257.71,0.01
70000,0.9995,0.0003,244.01,0.01
71000,,,231.11,0.01
72000,,,218.96,0.01
73000,,,207.54,0.01
74000,,,196.81,0.01
75000,,,186.74,0.01
76000,,,177.29,0.01
77000,,,168.41,0.01
78000,,,160.01,0.01
79000,,,152.1,0.01
80000,0.9917,0.0005,144.65,0.01
81000,,,137.62,0.01
82000,,,130.99,0.01
83000,,,124.73,0.01
84000,,,118.84,0.01
85000,,,113.29,0.01
86000,,,108.04,0.01
87000,,,103.09,0.01
88000,,,98.794,0.001
89000,,,94.368,0.001
90000,0.9821,0.001,90.18,0.001
91000,,,86.222,0.01
92000,,,82.464,0.01
93000,,,78.919,0.001
94000,,,75.543,0.001
95000,,,72.348,0.001
96000,,,69.324,0.001
97000,,,66.441,0.001
98000,,,63.708,0.001
99000,,,61.12,0.001
100000,0.9749,0.0005,58.648,0.001
110000,0.9641,0.001,39.61,0.001
120000,0.9556,0.001,27.625,0.001
130000,0.9464,0.001,19.793,0.001
140000,0.9363,0.0005,14.52,0.001
150000,0.925,0.001,10.857,0.001
160000,0.916,0.001,8.27,0.001
170000,0.904,0.0008,6.393,0.001
180000,0.8935,0.001,5.005,0.001
190000,0.881,0.001,3.958,0.001
200000,0.8705,0.0005,3.197,0.002
300000,0.752,0.0005,1.128,0.005
400000,0.6374,0.001,1.059,0.003
500000,0.5255,0.002,1.054,0.002
