Frequency (Hz),Initial (mV),Uncertainty (mV),Final (mV),Uncertainty (mV)
100,1.284,0.001,77.8,0.3
200,1.284,0.001,78,0.5
300,1.285,0.001,77.9,1
400,1.284,0.001,80.2,0.2
500,1.282,0.001,95.1,0.5
600,1.284,0.001,143.4,0.2
700,1.283,0.001,242.8,0.2
800,1.283,0.001,395.5,0.4
900,1.283,0.001,585.1,0.5
1000,1.282,0.001,775,1
2000,1.282,0.001,1203,1
3000,1.282,0.001,1215,0.5
4000,1.282,0.001,1218,1
5000,1.282,0.001,1218,1
6000,1.282,0.001,1217,1
7000,1.282,0.001,1216,0.5
8000,1.282,0.001,1213,0.2
9000,1.282,0.001,1212,0.2
10000,1.282,0.001,1210,1
20000,1.28,0.001,1175,1
30000,1.277,0.001,1107,1
31000,1.278,0.001,1098,1
32000,1.277,0.001,1088,0.6
33000,1.276,0.001,1076,0.5
34000,1.276,0.001,1065,0.5
35000,1.275,0.001,1052,0.4
36000,1.276,0.001,1038,0.5
37000,1.275,0.001,1022,0.3
38000,1.274,0.001,1006,0.3
39000,1.274,0.001,988.5,0.2
40000,1.273,0.001,968.3,0.4
41000,1.272,0.001,946.2,0.3
42000,1.272,0.001,922.8,0.5
43000,1.272,0.001,898,0.2
44000,1.272,0.001,871.3,0.4
45000,1.271,0.001,843.6,0.5
46000,1.271,0.001,814.1,0.2
47000,1.271,0.001,783.5,0.3
48000,1.27,0.001,751.7,0.2
49000,1.27,0.001,719.3,0.3
50000,1.269,0.001,687.5,0.3
51000,1.268,0.001,654.7,0.3
52000,1.267,0.001,622.1,0.3
53000,1.267,0.001,590.1,0.3
54000,1.266,0.001,558.78,0.3
55000,1.266,0.001,528.2,0.3
56000,1.265,0.001,498.2,0.3
57000,1.265,0.001,470.3,0.3
58000,1.264,0.001,443.16,0.3
59000,1.263,0.001,417.5,0.3
60000,1.262,0.001,392.79,0.3
61000,1.262,0.001,369.8,0.3
62000,1.261,0.001,348.2,0.3
63000,1.26,0.001,327.7,0.3
64000,1.259,0.001,308.5,0.3
65000,1.26,0.001,290.8,0.2
66000,1.258,0.001,274.3,0.2
67000,1.257,0.001,258.2,0.2
68000,1.256,0.001,244.4,0.2
69000,1.256,0.001,230.8,0.2
70000,1.255,0.001,218.2,0.2
71000,1.255,0.001,206.5,0.2
72000,1.254,0.001,196.5,0.2
73000,1.254,0.001,186.3,0.2
74000,1.253,0.001,177.1,0.2
75000,1.253,0.001,168.8,0.2
76000,1.254,0.001,161.4,0.3
77000,1.251,0.001,154,0.3
78000,1.252,0.001,147.38,0.2
79000,1.251,0.001,141.45,0.2
80000,1.25,0.001,136.02,0.2
81000,1.249,0.001,130.2,0.2
82000,1.248,0.001,126,0.2
83000,1.247,0.001,121.9,0.2
84000,1.246,0.001,118,0.2
85000,1.245,0.001,114.6,0.2
86000,1.245,0.001,111.1,0.2
87000,1.244,0.001,108.4,0.5
88000,1.243,0.001,105.4,0.4
89000,1.242,0.001,102.9,0.6
90000,1.241,0.001,101.5,0.4
91000,1.24,0.001,99.3,0.5
92000,1.239,0.001,97.4,0.2
93000,1.238,0.001,96,0.7
94000,1.238,0.001,93,0.6
95000,1.237,0.001,92.5,0.2
96000,1.236,0.001,90.7,0.4
97000,1.236,0.001,89.8,0.3
98000,1.235,0.001,88.8,0.3
99000,1.234,0.001,87.5,0.3
100000,1.233,0.001,86.6,0.4
110000,1.225,0.001,81.4,0.2
120000,1.215,0.001,79.6,0.2
130000,1.206,0.001,78.86,0.3
140000,1.195,0.001,78.5,0.3
150000,1.196,0.001,78.3,0.3
160000,1.175,0.001,77.8,0.2
170000,1.163,0.001,77.7,0.2
180000,1.154,0.001,77.8,0.3
190000,1.14,0.001,77.7,0.3
200000,1.13,0.001,77.8,0.3
1000000,0.379,0.001,77.7,0.3
