Sample #,Concentration,Tau (ms),Unc. Tau (ms),Offset (us),Unc. Offset (us),Amplitude (mV),Unc. Amplitude (mV)
9,,5,1,320,2,7.12,0.2
9,,10,1,320,2,9.68,0.2
9,,20,1,322,2,13.8,0.2
9,,30,1,322,2.0,17.6,0.20
9,,50,1,316,2,23.8,0.2
9,,75,1,316,2,25.8,0.2
9,,100,1,316,2,28.4,0.2
8,,10,1,316,2,15.0,0.2
8,,20,1,318,2,20.6,0.2
8,,30,1,318,2,24.8,0.2
8,,40,1,318,2,27.4,0.2
8,,50,1,318,2,28.6,0.2
8,,75,1,318,2,30.8,0.2
8,,100,1,318,2,32.0,0.2
7,,3,1,320,2,9.92,0.1
7,,10,1,320,2,19.6,0.2
7,,15,1,320,2,23.4,0.2
7,,20,1,320,2,26,0.2
7,,30,1,320,2,28.6,0.2
7,,50,1,320,2,30.4,0.2
10,,20,1,320,2,11.1,0.1
10,,50,1,322,2,18.4,0.2
10,,100,1,322,2,24.6,0.2
10,,150,1,322,2,28.4,0.2
10,,200,1,322,2,29.4,0.2
10,,300,1,322,2,30.6,0.2
