Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0557813,-0.000750625
-1.0220e-02,-0.05125,-0.000151563
-1.0210e-02,-0.0490625,-0.00027875
-1.0200e-02,-0.045625,-0.000479063
-1.0190e-02,-0.060625,-0.00039125
-1.0180e-02,-0.0654688,-0.000994688
-1.0170e-02,-0.0548437,-0.000378125
-1.0160e-02,-0.0578125,-0.000548125
-1.0150e-02,-0.0446875,-0.00036625
-1.0140e-02,-0.0470312,0.000295
-1.0130e-02,-0.0648438,0.000296875
-1.0120e-02,-0.0526563,0.00014125
-1.0110e-02,-0.0501562,-0.000199063
-1.0100e-02,-0.0559375,9.5625e-05
-1.0090e-02,-0.044375,-0.000328125
-1.0080e-02,-0.0645312,-4.625e-05
-1.0070e-02,-0.0501562,-6.625e-05
-1.0060e-02,-0.0446875,-0.000665625
-1.0050e-02,-0.0546875,-0.000458438
-1.0040e-02,-0.056875,-0.000439375
-1.0030e-02,-0.0535937,-0.000405938
-1.0020e-02,-0.0517188,-0.000777813
-1.0010e-02,-0.0557813,-0.000183125
-1.0000e-02,-0.0521875,-2.8125e-05
-9.9900e-03,-0.0396875,-8.65625e-05
-9.9800e-03,-0.0584375,-0.000664375
-9.9700e-03,-0.0521875,-0.00027375
-9.9600e-03,-0.0535937,-0.000425
-9.9500e-03,-0.0557813,-0.00061
-9.9400e-03,-0.0417187,-0.000502813
-9.9300e-03,-0.0553125,-0.000815
-9.9200e-03,-0.0595313,-0.000327188
-9.9100e-03,-0.0595313,-0.000662188
-9.9000e-03,-0.0417187,-0.000379688
-9.8900e-03,-0.0539063,-0.000350625
-9.8800e-03,-0.0532813,0.000146875
-9.8700e-03,-0.0485938,0.000159375
-9.8600e-03,-0.04375,7.9375e-05
-9.8500e-03,-0.0529687,0.000348438
-9.8400e-03,-0.0557813,0.000719063
-9.8300e-03,-0.0509375,9.96875e-05
-9.8200e-03,-0.0457813,0.000120625
-9.8100e-03,-0.0554687,4.375e-06
-9.8000e-03,-0.0510938,-0.000426563
-9.7900e-03,-0.056875,-0.000540312
-9.7800e-03,-0.0485938,-5.9375e-05
-9.7700e-03,-0.065625,-0.000135
-9.7600e-03,-0.059375,-0.00041375
-9.7500e-03,-0.0435938,-0.00019625
-9.7400e-03,-0.0653125,0.000220938
-9.7300e-03,-0.0646875,-0.000395938
-9.7200e-03,-0.0610938,-0.000585313
-9.7100e-03,-0.0517188,-0.000517188
-9.7000e-03,-0.0584375,-0.000346875
-9.6900e-03,-0.059375,-0.000104375
-9.6800e-03,-0.05125,0.000280313
-9.6700e-03,-0.0514063,0.000465938
-9.6600e-03,-0.055,-0.000356875
-9.6500e-03,-0.0570313,-0.000142188
-9.6400e-03,-0.0515625,7.75e-05
-9.6300e-03,-0.0554687,-0.00034875
-9.6200e-03,-0.0423437,-0.000445938
