Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05012,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,1,,
Vertical Position,0.02,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.200000e-04,-0.055625,-0.00142219,4.95146
1.210000e-04,-0.0582813,-0.00175609,4.9624
1.220000e-04,-0.0528125,-0.001355,4.93427
1.230000e-04,-0.054375,-0.00165453,4.93052
1.240000e-04,-0.0517188,-0.00152063,4.94709
1.250000e-04,-0.0520313,-0.00163703,4.92334
1.260000e-04,-0.0554687,-0.00127563,4.90396
1.270000e-04,-0.0632812,-0.00163188,4.92334
1.280000e-04,-0.0546875,-0.00155062,4.91709
1.290000e-04,-0.0584375,-0.00182813,4.92802
1.300000e-04,-0.065625,-0.00141984,4.92021
1.310000e-04,-0.055,-0.00162391,4.95115
1.320000e-04,-0.0548437,-0.00121719,4.88896
1.330000e-04,-0.0579687,-0.00149625,4.92834
1.340000e-04,-0.0585938,-0.00154594,4.92146
1.350000e-04,-0.0610938,-0.00154125,4.90928
1.360000e-04,-0.055,-0.00144641,4.90646
1.370000e-04,-0.0525,-0.00158453,4.9324
1.380000e-04,-0.05125,-0.00172219,4.92928
1.390000e-04,-0.048125,-0.0020125,4.91396
1.400000e-04,-0.0446875,-0.00130063,4.91302
1.410000e-04,-0.0609375,-0.00172094,4.92459
1.420000e-04,-0.0526563,-0.00139672,4.91209
1.430000e-04,-0.0492188,-0.00161047,4.91334
1.440000e-04,-0.0595313,-0.00190469,4.91427
1.450000e-04,-0.0560937,-0.00149125,4.91771
1.460000e-04,-0.0573437,-0.00172156,4.91834
1.470000e-04,-0.0478125,-0.00139344,4.92396
1.480000e-04,-0.0645312,-0.00155734,4.92959
1.490000e-04,-0.058125,-0.00187266,4.92146
1.500000e-04,-0.0582813,-0.00161125,4.9149
1.510000e-04,-0.0546875,-0.00165406,4.91615
1.520000e-04,-0.0559375,-0.00148156,4.92396
1.530000e-04,-0.0610938,-0.00162672,4.93802
1.540000e-04,-0.07,-0.0016875,4.94584
1.550000e-04,-0.0557813,-0.00151719,4.94834
1.560000e-04,-0.0540625,-0.00154922,4.92615
1.570000e-04,-0.0515625,-0.00144891,4.92584
1.580000e-04,-0.0610938,-0.00180141,4.91115
1.590000e-04,-0.0621875,-0.00176078,4.91615
1.600000e-04,-0.0503125,-0.0015725,4.89552
1.610000e-04,-0.0464062,-0.00176297,4.93615
1.620000e-04,-0.0551563,-0.00127578,4.92615
1.630000e-04,-0.04625,-0.00146547,4.93865
1.640000e-04,-0.0526563,-0.00152438,4.90896
1.650000e-04,-0.05875,-0.00140969,4.93896
1.660000e-04,-0.05625,-0.00155219,4.9274
1.670000e-04,-0.0557813,-0.00150406,4.93896
1.680000e-04,-0.058125,-0.00149219,4.95365
1.690000e-04,-0.0584375,-0.00171016,4.93959
1.700000e-04,-0.0703125,-0.00150188,4.93896
1.710000e-04,-0.0559375,-0.00169281,4.95365
