Sample Number,Total volume (mL),FeCl3 solution (mL),Molarity,# ions/cc
1,5,5,0.166,9.99675E+19
2,5,2.8,0.166,5.59818E+19
3,5,1.65,0.166,3.29893E+19
4,5,0.9,0.166,1.79942E+19
5,5,0.5,0.166,9.99675E+18
6,5,0.28,0.166,5.59818E+18
7,5,0.165,0.166,3.29893E+18
8,5,0.09,0.166,1.79942E+18
9,5,0.05,0.166,9.99675E+17
9 (2),10,0.1,0.166,9.99675E+17
10,5,2.8,0.00166,5.59818E+17
11,5,1.65,0.00166,3.29893E+17
12,5,0.9,0.00166,1.79942E+17
13,5,0.5,0.00166,9.99675E+16
14,5,0.28,0.00166,5.59818E+16
15,5,0.165,0.00166,3.29893E+16
16,5,0.09,0.00166,1.79942E+16
17,5,0.05,0.00166,9.99675E+15

