Temperatures,Value,Uncertainty,Value,Uncertainty,Value,Uncertainty,Value ,Uncertainty,Value,Uncertainty
Tau=,2,,6,,10,,16,,18,
Repeat time,130,,220,,180,,280,,220,
70,266,5,678,15,418,5,445,5,362,5
65,277,10,667,10,429,10,449,5,375,5
60,315,10,620,10,442,5,455,5,380,5
57,323,5,619,10,448,5,459,5,382,5
55,351,10,614,5,429,5,449,5,385,5
52,383,10,637,15,432,10,417,5,373,5
50,390,15,634,10,405,5,393,5,367,5
49,425,15,621,10,391,5,374,5,344,5
48,441,10,611,10,364,10,342,5,324,5
47,433,15,592,5,324,5,315,5,306,5
46,413,10,581,15,298,10,260,10,265,5
45,386,10,521,10,257,5,238,5,224,5
Calibration (px),266,5,266,5,441,5,441,5,263,5
Length (mV),5.44,,5.44,,23,,23,,13.6
