V,I1,I2,I3,I4,I5
0,1.63126,1.63116,1.63121,1.63135,1.63105
0.05,1.47535,1.47524,1.47532,1.4758,1.47549
0.1,1.31167,1.31225,1.31212,1.31253,1.31239
0.15,1.1585,1.15837,1.15811,1.15839,1.15836
0.2,0.9954,0.99543,0.99516,0.99527,0.99529
0.25,0.86603,0.86598,0.86591,0.86654,0.86635
0.3,0.72809,0.72767,0.72812,0.72794,0.72792
0.34,0.62479,0.62504,0.62505,0.62493,0.62506
0.4,0.51322,0.51337,0.51336,0.51355,0.51353
0.45,0.40586,0.40576,0.4057,0.40583,0.40585
0.5,0.31824,0.31832,0.31824,0.31826,0.31849
0.55,0.23891,0.23892,0.23929,0.23895,0.23904
0.6,0.17314,0.17332,0.17307,0.17302,0.17305
0.65,0.12163,0.12162,0.12157,0.12167,0.12174
0.68,0.09016,0.09029,0.09019,0.09021,0.09025
0.71,0.07361,0.0735,0.07356,0.07371,0.07362
0.73,0.06077,0.06072,0.06075,0.06072,0.06079
0.76,0.04183,0.04181,0.0419,0.04179,0.0419
0.78,0.03226,0.03225,0.03207,0.03215,0.0322
0.8,0.0268,0.0267,0.02677,0.02676,0.02688
0.81,0.02401,0.02399,0.02408,0.02402,0.02415
0.82,0.02032,0.02029,0.02031,0.02025,0.0203
0.84,0.01637,0.01639,0.0164,0.01636,0.01641
0.86,0.01207,0.01204,0.0121,0.01202,0.01214
0.87,0.00965,0.00972,0.0097,0.00984,0.00964
0.89,0.00679,0.00683,0.00681,0.00673,0.00696
0.91,0.00365,0.00366,0.00367,0.00355,0.00371
0.93,0.00204,0.00201,0.00201,0.0021,0.00205
0.96,0.00045,0.00026,0.00054,0.00017,0.00042
0.99,-0.00091,-0.00092,-0.00063,-0.000127,-0.000101
1.03,-0.00171,-0.00178,-0.00194,-0.00185,-0.002
1.07,-0.00256,-0.00263,-0.0026,-0.00272,-0.00265
1.11,-0.00321,-0.00307,-0.00308,-0.00296,-0.00314
1.13,-0.00341,-0.00349,-0.00327,-0.00323,-0.00325
1.17,-0.00374,-0.00393,-0.00369,-0.00377,-0.00388
1.2,-0.00381,-0.00392,-0.00388,-0.00413,-0.00401
