V,I1,I2,I3,I4,I5
0,0.01158,0.01163,0.01162,0.01157,0.01153
0.04,0.00833,0.00804,0.00852,0.00835,0.00833
0.08,0.00648,0.00656,0.00672,0.00653,0.00658
0.13,0.00466,0.00461,0.00463,0.00462,0.00457
0.17,0.00353,0.00372,0.00359,0.00349,0.00355
0.2,0.00303,0.00311,0.00305,0.00305,0.00304
0.23,0.00266,0.00297,0.00225,0.00246,0.00245
0.26,0.00256,0.00251,0.00263,0.00259,0.00263
0.29,0.00241,0.00244,0.00239,0.00246,0.00242
0.31,0.00237,0.00234,0.00229,0.0024,0.00239
0.33,0.00232,0.00232,0.00241,0.00235,0.00224
0.34,0.00227,0.00226,0.00221,0.0023,0.00222
0.35,0.0023,0.00226,0.00228,0.00231,0.00238
0.36,0.00239,0.00216,0.00239,0.00236,0.00232
0.37,0.00225,0.00225,0.00226,0.0023,0.00232
0.39,0.00223,0.00218,0.00212,0.00218,0.00221
0.42,0.00209,0.00202,0.0022,0.0021,0.00207
0.45,0.00204,0.002,0.0019,0.00201,0.00203
0.49,0.0019,0.00198,0.00191,0.00185,0.00183
0.52,0.00187,0.00196,0.0017,0.00176,0.00196
0.55,0.00194,0.00174,0.00178,0.00179,0.00186
