V,I1,I2,I3,I4,I5
0,0.00144,0.0015,0.00147,0.0014,0.00139
0.1,0.00149,0.00138,0.00148,0.00141,0.00142
0.2,0.00163,0.00133,0.0015,0.00145,0.0015
0.31,0.00139,0.00142,0.00147,0.00151,0.00146
0.4,0.00195,0.00179,0.00162,0.00135,0.00165
0.5,0.00163,0.00157,0.0013,0.00161,0.00147
0.6,0.00174,0.00152,0.00161,0.00186,0.00174
0.69,0.00153,0.00165,0.00148,0.00147,0.00145
0.8,0.00151,0.0015,0.00149,0.00153,0.00153
0.9,0.00136,0.00157,0.00152,0.00134,0.00154
1,0.00148,0.00139,0.00143,0.00165,0.00161
1.1,0.00156,0.00149,0.00141,0.00159,0.00144
1.2,0.00159,0.0014,0.00162,0.00155,0.00137
1.3,0.00109,0.00135,0.00153,0.00181,0.00181
1.4,0.00135,0.0015,0.0018,0.00117,0.00147
1.5,0.0016,0.00157,0.00152,0.00146,0.00133
