Voltage (V),Current (pA)
0,2.7008
0,2.7011
0,2.7006
0,2.7009
0,2.7012
0.02,2.6045
0.02,2.6042
0.02,2.6049
0.02,2.605
0.02,2.6053
0.04,2.541
0.04,2.5412
0.04,2.541
0.04,2.5416
0.04,2.5419
0.05,2.4773
0.05,2.4772
0.05,2.4811
0.05,2.4791
0.05,2.4809
0.07,2.3599
0.07,2.3592
0.07,2.359
0.07,2.3588
0.07,2.3596
0.1,2.2252
0.1,2.2254
0.1,2.2245
0.1,2.2243
0.1,2.225
0.14,2.0334
0.14,2.0338
0.14,2.0353
0.14,2.0347
0.14,2.035
0.16,1.9801
0.16,1.9797
0.16,1.9806
0.16,1.9812
0.16,1.9811
0.19,1.821
0.19,1.8213
0.19,1.8211
0.19,1.8222
0.19,1.822
0.21,1.7285
0.21,1.7288
0.21,1.7292
0.21,1.7299
0.21,1.7294
0.23,1.6293
0.23,1.6295
0.23,1.6296
0.23,1.6295
0.23,1.6298
0.26,1.5416
0.26,1.5409
0.26,1.5415
0.26,1.5417
0.26,1.5416
0.29,1.4144
0.29,1.4143
0.29,1.4145
0.29,1.4148
0.29,1.4152
0.31,1.3166
0.31,1.3177
0.31,1.3171
0.31,1.3172
0.31,1.3175
0.35,1.1514
0.35,1.1521
0.35,1.1524
0.35,1.1521
0.35,1.1516
0.39,1.0208
0.39,1.0217
0.39,1.0213
0.39,1.0244
0.39,1.0255
0.41,0.9443
0.41,0.9441
0.41,0.9445
0.41,0.9448
0.41,0.9452
0.43,0.8714
0.43,0.8709
0.43,0.871
0.43,0.8719
0.43,0.8721
0.46,0.7613
0.46,0.7629
0.46,0.7631
0.46,0.7626
0.46,0.7636
0.48,0.7002
0.48,0.7021
0.48,0.7006
0.48,0.6998
0.48,0.7007
0.52,0.5736
0.52,0.5741
0.52,0.5738
0.52,0.573
0.52,0.5736
0.54,0.5239
0.54,0.5237
0.54,0.524
0.54,0.5244
0.54,0.5241
0.57,0.4363
0.57,0.4371
0.57,0.4364
0.57,0.4369
0.57,0.4366
0.59,0.3939
0.59,0.3942
0.59,0.3942
0.59,0.3941
0.59,0.3947
0.64,0.2872
0.64,0.2879
0.64,0.2881
0.64,0.2882
0.64,0.288
0.67,0.2283
0.67,0.2286
0.67,0.2287
0.67,0.2284
0.67,0.2286
0.71,0.1582
0.71,0.1585
0.71,0.1582
0.71,0.1581
0.71,0.1583
0.73,0.1245
0.73,0.1246
0.73,0.125
0.73,0.1253
0.73,0.1249
0.77,0.0803
0.77,0.0804
0.77,0.0805
0.77,0.0805
0.77,0.0804
0.79,0.0631
0.79,0.0632
0.79,0.0631
0.79,0.0629
0.79,0.0633
0.81,0.0472
0.81,0.0471
0.81,0.0473
0.81,0.0471
0.81,0.0474
0.83,0.0366
0.83,0.0365
0.83,0.0365
0.83,0.0367
0.83,0.0365
0.87,0.016
0.87,0.0159
0.87,0.016
0.87,0.0159
0.87,0.016
0.89,0.0124
0.89,0.0125
0.89,0.0126
0.89,0.0124
0.89,0.0125
0.91,0.0072
0.91,0.0071
0.91,0.0074
0.91,0.007
0.91,0.007
0.93,0.0052
0.93,0.0054
0.93,0.0053
0.93,0.0053
0.93,0.0053
0.95,0.003
0.95,0.0025
0.95,0.0026
0.95,0.0031
0.95,0.0027
0.98,0.0013
0.98,0.0012
0.98,0.0013
0.98,0.0012
0.98,0.0013
1.02,0
1.02,0.0001
1.02,0
1.02,0
1.02,0.0001
1.05,-0.0008
1.05,-0.0009
1.05,-0.0008
1.05,-0.0008
1.05,-0.0005
1.08,-0.0011
1.08,-0.0013
1.08,-0.0011
1.08,-0.0016
1.08,-0.0011
1.11,-0.0015
1.11,-0.0016
1.11,-0.0016
1.11,-0.0017
1.11,-0.0016
1.14,-0.0019
1.14,-0.0018
1.14,-0.0019
1.14,-0.002
1.14,-0.0017
1.16,-0.0019
1.16,-0.0021
1.16,-0.0022
1.16,-0.0021
1.16,-0.0019
1.18,-0.0023
1.18,-0.0022
1.18,-0.0024
1.18,-0.0021
1.18,-0.002
