V,I_1,I_2,I_3,I_4,I_5
0,1.64168,1.64476,1.63874,1.63704,1.63371
0.1,1.41003,1.40725,1.40482,1.40478,1.40862
0.2,1.17599,1.1764,1.1763,1.1767,1.17653
0.3,0.95934,0.95948,0.95774,0.96083,0.96052
0.4,0.77285,0.77248,0.77219,0.77339,0.77301
0.5,0.58964,0.5896,0.58899,0.58926,0.58961
0.6,0.40633,0.4059,0.40652,0.40637,0.40663
0.7,0.26796,0.26837,0.26869,0.26904,0.26889
0.8,0.15853,0.1586,0.1585,0.15856,0.15909
0.9,0.07513,0.07502,0.07518,0.07504,0.075
1,0.02437,0.02449,0.02437,0.02465,0.02375
1.1,0.00548,0.00469,0.00453,0.00557,0.0052
1.2,0.00064,0.00065,0.00064,0.00062,0.00046
1.3,-0.00063,-0.00003,-0.00062,-0.00063,-0.0006
